Deliver one-by-one (78 moves)
@45, n = F, q = Tr2, load= {  }, drop= {  }, moving F->L:E10 arr 46
@46, n = D, q = Tr1, load= {  }, drop= {  }, moving D->H:E5 arr 47
@46, n = L, q = Tr2, load= { P62 }, drop= { P42 }, moving L->A:E11 arr 49
@47, n = H, q = Tr1, load= {  }, drop= { P13 }, moving H->D:E5 arr 48
@48, n = D, q = Tr1, load= {  }, drop= {  }, moving D->E:E4 arr 51
@49, n = A, q = Tr2, load= {  }, drop= {  }, moving A->B:E1 arr 51
@51, n = B, q = Tr2, load= {  }, drop= { P62 }, moving B->A:E1 arr 53
@51, n = E, q = Tr1, load= { P32 }, drop= {  }, moving E->C:E3 arr 54
@53, n = A, q = Tr2, load= {  }, drop= {  }, moving A->L:E11 arr 56
@54, n = C, q = Tr1, load= {  }, drop= { P32 }, moving C->B:E2 arr 56
@56, n = L, q = Tr2, load= {  }, drop= {  }, moving L->F:E10 arr 57
@56, n = B, q = Tr1, load= {  }, drop= {  }, moving B->A:E1 arr 58
@57, n = F, q = Tr2, load= { P91 }, drop= {  }, moving F->L:E10 arr 58
@58, n = L, q = Tr2, load= {  }, drop= {  }, moving L->A:E11 arr 61
@58, n = A, q = Tr1, load= {  }, drop= {  }, moving A->L:E11 arr 61
@61, n = A, q = Tr2, load= {  }, drop= {  }, moving A->B:E1 arr 63
@61, n = L, q = Tr1, load= {  }, drop= {  }, moving L->F:E10 arr 62
@62, n = F, q = Tr1, load= { P92 }, drop= {  }, moving F->D:E7 arr 65
@63, n = B, q = Tr2, load= {  }, drop= { P91 }, moving B->A:E1 arr 65
@65, n = D, q = Tr1, load= {  }, drop= {  }, moving D->H:E5 arr 66
@65, n = A, q = Tr2, load= {  }, drop= {  }, moving A->L:E11 arr 68
@66, n = H, q = Tr1, load= {  }, drop= {  }, moving H->K:E6 arr 70
@68, n = L, q = Tr2, load= {  }, drop= {  }, moving L->F:E10 arr 69
@69, n = F, q = Tr2, load= {  }, drop= {  }, moving F->G:E8 arr 73
@70, n = K, q = Tr1, load= {  }, drop= { P92 }, parked
@73, n = G, q = Tr2, load= { P52 }, drop= {  }, moving G->F:E8 arr 77
@77, n = F, q = Tr2, load= {  }, drop= {  }, moving F->L:E10 arr 78
@78, n = L, q = Tr2, load= {  }, drop= {  }, moving L->A:E11 arr 81
@81, n = A, q = Tr2, load= {  }, drop= {  }, moving A->B:E1 arr 83
@83, n = B, q = Tr2, load= {  }, drop= { P52 }, parked
Deliver with greedy trains (55 moves)
@0, n = A, q = Tr1, load= { P81,P82 }, drop= {  }, moving A->B:E1 arr 2
@0, n = G, q = Tr2, load= { P51,P52 }, drop= {  }, moving G->F:E8 arr 4
@2, n = B, q = Tr1, load= { P11,P13 }, drop= {  }, moving B->A:E1 arr 4
@4, n = A, q = Tr1, load= {  }, drop= {  }, moving A->L:E11 arr 7
@4, n = F, q = Tr2, load= {  }, drop= {  }, moving F->L:E10 arr 5
